business_name,business_group,basic_category,taxonomy_primary,confidence,lat,lon
Warud Orange City railway station,transport,train_station,train_station,0.8052399158477783,21.458721,78.276164
Sai Mandir,religious,hindu_place_of_worship,hindu_place_of_worship,0.5618466138839722,21.466389,78.281386
Late Shri Marutrao Kherade Sabhagruh and Lawn,services,event_or_party_service,party_and_event_planning,0.6826409101486206,21.46604201,78.27564631
House Of Cafe,food_and_grocery,cafe,cafe,0.8119120001792908,21.46474,78.27242
"श्री संत शंकर महाराज कृषी महाविद्यालय,पिंपळखूटा",education,place_of_learning,school,0.7357314229011536,21.46474,78.27242
Honey_Bunny cafe warud,food_and_grocery,restaurant,restaurant,0.7267652153968811,21.465492906208,78.27197
Rituraj Mobile Shop,services,b2b_office_and_professional_service,b2b_advertising_and_marketing_service,0.5471863746643066,21.4662,78.2714
Genericart Medicine Store,healthcare,pharmacy_and_drug_store,pharmacy,0.77,21.4662383,78.2711268
"Tata Motors Cars Showroom - Jaika Motors, Warud",automotive,automotive_service,automotive_service,0.85,21.464375,78.272377
"Saishri Kirana And  General,WARUD",food_and_grocery,food_and_beverage_store,grocery_store,0.5410627722740173,21.4588,78.27579
Warud Orange City Railway Station,transport,train_station,train_station,0.6568187475204468,21.45825,78.26832
Rural Hospital,healthcare,hospital,hospital,0.7114322185516357,21.466666666667,78.266666666667
TRENDS,retail,fashion_and_apparel_store,clothing_store,0.85,21.4712098,78.2647004
Genericart Medicine Store,healthcare,pharmacy_and_drug_store,pharmacy,0.77,21.47120994,78.26470055
Shradha Auto Services - Hero MotoCorp,retail,shopping,shopping,0.9655,21.47121,78.2647
Bajaj Finance Branch,finance,bank_or_credit_union,credit_union,0.85,21.4712098,78.2647004
Jain Cold Drinks and Sweets,retail,casual_eatery,dessert_shop,0.5683817863464355,21.47243629,78.26856598
Nature's Pride,services,real_estate_service,real_estate_service,0.5279561281204224,21.47169,78.2674
Takarkhede Automotive E-Bike Pandhurna Chwok Warud 444906 ,automotive,auto_dealer,auto_dealer,0.6229379773139954,21.47203,78.26848
Vidarbha Hardware,retail,hardware_home_and_garden_store,hardware_store,0.92999666929245,21.47139001,78.26879007
ICICI Bank,finance,bank_or_credit_union,bank,0.8,21.470216,78.267967
Shriram Finance Limited,finance,bank_or_credit_union,credit_union,0.85,21.469811,78.268769
HDFC Bank ATM,finance,bank_or_credit_union,bank_or_credit_union,0.9985607139825821,21.4685111,78.26776111
HDFC Securities - Warud,food_and_grocery,food_and_beverage_store,ethical_grocery_store,0.9655,21.468505,78.2677601
Manappuram Finance,services,event_or_party_service,party_and_event_planning,0.900137978196144,21.46847667116248,78.26776229776074
Shrikant Jewellers,retail,fashion_and_apparel_store,jewelry_store,0.9615358710289001,21.46724719,78.26855852
Vijay Theatre,entertainment_sports,movie_theater,movie_theater,0.6553381681442261,21.46851843,78.26988875
Bank of Maharashtra,finance,bank_or_credit_union,bank_or_credit_union,0.85,21.468936,78.269899
AU Small Finance Bank,finance,bank_or_credit_union,bank,0.77,21.4691625,78.2689531
Sayali Metal,retail,shopping,shopping,0.5174524784088135,21.46938264,78.2688953
